prefab_name: "Seattle:Security/TrollFemaleSecurity"
character_sheet_id: "CG Troll Street Samurai"
equipment_sheet_id: "MERCURIAL_GunnerGear_Lv2"
character_mod {
  stats {
    body: 0
    quickness: 1
    strength: -1
    charisma: 0
    intelligence: 1
    willpower: -1
    essence: 0
    magic: 0
    hp: 0
    ap: 0
    armor: 2
    force: 0
    morale: 0
    discipline: 0
    awareness: 0
    perception: 0
    authority: 0
    protect_tether_range: 0
    move_speed: 0
    vision_peripheral_distance: 0
    vision_cone_distance: 0
    vision_cone_angle: 0
  }
  skills {
    ranged_combat: 3
    close_combat: 2
    throwing_weapons: 1
    spellcasting: 0
    decking: 0
    conjuring: 0
    spirit_summoning: 0
    drone_control: 0
    biotech: 0
    dodge: 0
    etiquette_corporate: 0
    etiquette_security: 1
    etiquette_gang: 0
    etiquette_socialite: 0
    chi_casting: 0
    etiquette_shadowrunner: 0
    etiquette_street: 0
    etiquette_academic: 0
  }
  specializations {
    pistol: 0
    rifle: 3
    shotgun: 0
    smg: 0
    edged: 0
    unarmed: 1
    spirit_control: 0
    esp_control: 0
    drone_combat: 0
  }
  archetypeName: "Non-Combatant"
  attitude: AttitudeAggressive
  vulnerabilities {
  }
}
team_id: "Shadowrunners"
char_name: "Gunner"
GeneralTags: "isUnhired"
GeneralTags: "isGunner"
enabled_at_start: true
pc_spawn_number: -1
hiring_type: HiringType_Hireable
revivable_value: true
cyberware_eyes: "Vision Magnification Eyes 2"
cyberware_jack: "Datajack"
cyberware_body: "Berlin_Suprathyroid (Bioware)"
cyberware_left_arm: "Berlin_Auto-Injector (Hyper)"
portrait {
  filename: "pc_trollfemale_06b_beauty"
}
karma: 2
hiring_cost_override: 0
hiring_tag: "Street Samurai"
scale_character_sheet: true
id: "MERCURIAL_Crew_Gunner_Lv2"
