prefab_name: "Seattle:Core/HumanFemale"
character_sheet_id: "Lvl3_Elf_Samurai"
equipment_sheet_id: "NPC_MariaMercurial_OffRUN"
character_mod {
  stats {
    body: 0
    quickness: 0
    strength: 0
    charisma: 0
    intelligence: 0
    willpower: 0
    essence: 2
    magic: 0
    hp: 0
    ap: 1
    armor: 1
    force: 0
    morale: 0
    discipline: 0
    awareness: 0
    perception: 0
    authority: 0
    protect_tether_range: 3
    move_speed: 0
    vision_peripheral_distance: 0
    vision_cone_distance: 0
    vision_cone_angle: 0
    is_fearless: 0
  }
  skills {
    ranged_combat: 3
    close_combat: -1
    throwing_weapons: -3
    spellcasting: 0
    decking: 0
    conjuring: 0
    spirit_summoning: 0
    drone_control: 0
    biotech: 0
    dodge: 0
    etiquette_corporate: 1
    etiquette_security: 0
    etiquette_gang: 0
    etiquette_socialite: 1
    chi_casting: 0
    etiquette_shadowrunner: 0
    etiquette_street: 0
    etiquette_academic: 0
  }
  specializations {
    pistol: 3
    rifle: 0
    shotgun: 0
    smg: 4
    edged: -3
    unarmed: 3
    spirit_control: 0
    esp_control: 0
    drone_combat: 0
  }
  archetypeName: "Non-Combatant"
  attitude: AttitudeBoss
  attackRandom: AttackStyle_BestOnly
  vulnerabilities {
  }
}
team_id: "Civilians"
char_name: "Maria Mercurial"
GeneralTags: "isMercurial"
pc_spawn_number: -1
hiring_type: HiringType_None
can_combat_shove: true
cyberware_jack: "Datajack"
cyberware_left_arm: "Obvious Cyberarm"
cyberware_right_arm: "Obvious Cyberarm"
cyberware_left_leg: "Obvious Cyberleg 2"
cyberware_right_leg: "Obvious Cyberleg 2"
portrait {
  filename: "geeked_maria_amazon"
}
portrait_code_override: "s4h7c1"
karma: 103
hiring_cost_override: 1000
