id: "DragonManaBolt"

type: ItemType_Spell

uirep 
{

  icon: "icon_manabolt3"

  name: "Manabolt 3"

  description: "A powerful magical bolt that pierces up to 4 Armor."

}

anim_type: AnimType_Spell

coreAttribute: Attribute_Willpower

coreSkill: Skill_Spellcasting

forceRating: 5

apCost: 1

baseHPDamage: 16

baseAPDamage: 0

rangeModTable: 10

rangeModTable: 9

rangeModTable: 8

rangeModTable: 7

rangeModTable: 6

rangeModTable: 5

rangeModTable: 4

rangeModTable: 3

rangeModTable: 2

rangeModTable: 1

rangeModTable: 0

rangeModTable: 0

rangeModTable: -1

rangeModTable: -2

rangeModTable: -3

rangeModTable: -4

rangeModTable: -5

rangeModTable: -6

rangeModTable: -7

rangeModTable: -8

noiseLevel: 6

noiseRounds: 1

modelessAbilities: "Manabolt"

rpPenetrate: 4

affectsFriendly: false

affectsEnemy: true

canTargetActor: true

canTargetOccupiedGridPoint: false

canTargetUnoccupiedGridPoint: false

cooldown: 1
isMagic: true

fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "ManaBoltThrowAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}

store_cost: 500

sorting_group: "DragonSpells"

