id: "Gunner's vz88v Lv2"
type: ItemType_Rifle
uirep {
  icon: "icon_gun_semopalvz88v"
  name: "Gunner's Modified vz88v"
  description: "Gunner's modified rifle, with underbarrel grenade launcher."
}
equipPrefabName: "AK97Rifle"
anim_type: AnimType_Rifle
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
apCost: 1
maxAmmo: 28
baseHPDamage: 13
baseAPDamage: 0
rangeModTable: 8
rangeModTable: 8
rangeModTable: 8
rangeModTable: 7
rangeModTable: 7
rangeModTable: 7
rangeModTable: 6
rangeModTable: 6
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
rangeModTable: -32
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "Single (Rifle)"
modelessAbilities: "Shoot (UBGrenade Launcher)"
is_unique: true
affectsEnemy: true
canTargetActor: true
store_cost: 2300
sorting_group: "Rifles"
