id: "MERCURIAL_LTG_feathered_area_Lv3"
type: ItemType_DeckerProgram
uirep {
  icon: "icon_killjoy"
  name: "Feather Lv3"
  description: "Marks targets in area, making them easier to hit."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
forceRating: 2
apCost: 1
baseHPDamage: 75
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
effectModTable: 1
effectModTable: 1
noiseLevel: 6
noiseRounds: 1
modelessAbilities: "Blaster 1 (Matrix)"
affectsFriendly: true
affectsEnemy: true
canTargetActor: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
cooldown: 2
isMagic: false
effectDuration: 3
fxrep {
  preActionFxName: "MatrixSpellPrepare"
  actionFxName: "MatrixBlasterThrowAction"
  postActionFxName: ""
  hitReactionFxName: "MatrixDebuffHitReaction"
  missReactionFxName: "MatrixCastMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_disintegrate1"
    name: "Tar'd & Feathered"
  }
  stackingCategory: "ToHitBlue"
  statMods {
    attribute: Attribute_Accuracy_Reduction_Mod
    intModValue: -10
  }
  fxScript: "AcidBurnStatus"
  is_debuff: true
}
store_cost: 300
sorting_group: "Programs"
