id: "Shivers Ruger Super Warhawk"
type: ItemType_Pistol
uirep {
  icon: "icon_gun_rugersuperwarhawk"
  name: "Shiver's Super Warhawk"
  description: "A well worn revolver, seems to spit lead faster than a full-auto at times."
}
equipPrefabName: "RevolverPistol"
anim_type: AnimType_Pistol
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Pistol
apCost: 1
maxAmmo: 6
baseHPDamage: 16
baseAPDamage: 0
rangeModTable: 8
rangeModTable: 8
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "Single (Revolver)"affectsEnemy: true
canTargetActor: true
store_cost: 800
sorting_group: "Pistols"
