prefab_name: "Seattle:Story/WeaponsDealer"
character_sheet_id: "CG Human Decker"
equipment_sheet_id: "MERCURIAL_NebelGear_Lv1"
character_mod {
  stats {
    body: 0
    quickness: 0
    strength: 0
    charisma: 1
    intelligence: 0
    willpower: 0
    essence: 0
    magic: 0
    hp: 0
    ap: 0
    armor: 0
    force: 0
    morale: 0
    discipline: 0
    awareness: 0
    perception: 0
    authority: 0
    protect_tether_range: 0
    move_speed: 0
    vision_peripheral_distance: 0
    vision_cone_distance: 0
    vision_cone_angle: 0
  }
  skills {
    ranged_combat: 0
    close_combat: 3
    throwing_weapons: 2
    spellcasting: 0
    decking: 2
    conjuring: 0
    spirit_summoning: 0
    drone_control: 0
    biotech: 1
    dodge: 2
    etiquette_corporate: 0
    etiquette_security: 0
    etiquette_gang: 0
    etiquette_socialite: 0
    chi_casting: 0
    etiquette_shadowrunner: 0
    etiquette_street: 0
    etiquette_academic: 0
  }
  specializations {
    pistol: 0
    rifle: 0
    shotgun: 0
    smg: 0
    edged: 0
    unarmed: 0
    spirit_control: 0
    esp_control: 0
    drone_combat: 0
  }
  archetypeName: "Non-Combatant"
  attitude: AttitudeAggressive
  vulnerabilities {
  }
}
team_id: "Civilians"
char_name: "Nebel"
GeneralTags: "isUnhired"
GeneralTags: "isNebel"
enabled_at_start: true
pc_spawn_number: -1
hiring_type: HiringType_Hireable
revivable_value: true
cyberware_jack: "Datajack"
cyberware_body: "Berlin_Tailored Pheromones (Bioware)"
cyberware_left_leg: "Enhanced Articulation"
portrait {
  filename: "npc_humanfemale_weaponstechdealer"
}
karma: 2
hiring_cost_override: 0
hiring_tag: "Sexy Decker (Level 2 version)"
scale_character_sheet: true
id: "MERCURIAL_Crew_Nebel_Lv2"
