id: "Shivers Super WarHawk"
type: ItemType_Pistol
uirep {
  icon: "icon_gun_rugersuperwarhawk"
  name: "Shivers Super Warhawk"
  description: "Pistol: A modern revolver that sacrifies combat options for massive stopping power. Pierces up to 2 Armor."
}
equipPrefabName: "RevolverPistol"
anim_type: AnimType_Pistol
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Pistol
apCost: 1
maxAmmo: 6
baseHPDamage: 10
baseAPDamage: 0
rangeModTable: 8
rangeModTable: 8
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
rangeModTable: -32
rangeModTable: -34
rangeModTable: -36
rangeModTable: -38
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "DC Single (Revolver)"
abilityModes: "Burst (Rifle)"rpPenetrate: 2
affectsEnemy: true
canTargetActor: true
store_cost: 1250
sorting_group: "Pistols"
